Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

value,metric
17360,A Windows Filtering Platform provider has been changed.
15055,Защита
14026,R293_01_Аномальное дерево процессов для Windows
13926,A user's local group membership was enumerated.
13921,Событие состояния службы
13235,The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started.
12766,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
12298,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.
12112,Контроль устройств
11759,A token right was adjusted.
10447,Windows Firewall has changed the active profile.
9648,Creating RunspacePool object
9647,Creating Runspace object
9646,Opening RunspacePool
9422,Key migration operation.
8759,A user account was changed.
8650,An attempt was made to reset an account's password.
8294,Vault credentials were read.
8093,An attempt was made to query the existence of a blank password for an account.
8049,Ведение журнала и восстановление
7421,Обновление для всех Win (создана 15.04.2025)
7404,A registry value was modified.
7115,События сбоев приложения
5751,A process changed a file creation time
5713,A scheduled task was disabled.
5710,R423_02_Компиляция с помощью csc.exe из подозрительной директории
5383,The system time was changed.
5081,Агент Центра обновления Windows
4978,R423_Подозрительный процесс компиляции файла
4643,A scheduled task was enabled.
4556,User initiated logoff
4477,FileDeleteDetected (File Delete logged)
4370,A rule has been ignored by Windows Firewall because it could not parse the rule.
4353,ClipboardChange (New content in the clipboard)
4182,A notification package has been loaded by the Security Account Manager.
4178,Защита от веб-угроз
4149,Поиск вредоносного ПО
3962,Windows Firewall Group Policy settings has changed. The new settings have been applied.
3452,Защита от почтовых угроз
3416,FileBlockExecutable
3412,Веб-Контроль
3407,Защита от эксплойтов
3407,Анализ поведения
3380,Предотвращение вторжений
3369,Сетевой экран
3368,Адаптивный контроль аномалий
3363,Защита от сетевых угроз
3343,Средство сбора данных
3306,Ведение журнала/Восстановление
3177,The process has initiated the power off of computer on behalf of user for the following reason
2845,Сервер
2764,Update
2730,The system is entering sleep
2704,WmiEvent (WmiEventConsumer activity detected)
2676,The following policy was active when the Windows Firewall started.
2675,The Windows Firewall Service has started successfully.
2671,The Windows Firewall Driver has started successfully.
2659,The system has resumed from sleep
2626,The operating system started at system time
2599,The Per-user audit policy table was created.
2594,An authentication package has been loaded by the Local Security Authority.
2568,Windows is starting up.
2357,Служба поиска
2135,R224_02_Сбор информации об удаленной системе стандартными средствами Windows
2121,Sysmon service state changed
2047,R110_Использование подозрительных опций в командах PowerShell
2011,The event logging service has shut down
2000,The kernel power manager has initiated a shutdown transition
1790,AMSI-защита
1775,LMS
1695,A change has been made to Windows Firewall exception list. A rule was modified.
1599,The Federation Service stopped successfully
