Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:38+03:00
[ТД] Искра

tenantID,tenantName,id,displayName,criticality,frequency
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,2ece1bb2-76cf-42bf-8cfc-327ce04235cf,OGE-18VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,d1c52436-542e-4d11-b8bd-2b13a677ebbe,OGE-5VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,eb74ab79-6ccf-4343-b820-5cf128b8f06e,OGT-1-4VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,2d4c250b-6219-4010-b64c-2cd0a4090cc5,OGT-2-8VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,e8c7d3dc-fa88-47a1-afe4-bfd11b42ae28,OGT-KBOP-2VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,3954a986-dbe0-42d6-b169-bf9dda07ac28,OK-5,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,2f965b66-00e0-4056-9c3f-1de98a58a1c0,OLSIE-BOOS-2VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,8323631d-567a-4563-8adb-16e78b8329ad,OMOIS-3VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,5841ad23-5095-40c6-8ef3-2e6b81b63803,OMTS-M-2VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,c37c3f03-3fe5-464e-94d4-abdf217ad6be,OMTS-N-VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,60cfb9d3-c52f-4efb-b2a1-5c9b007489ef,OMTS-O-1VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,d17457cc-d418-4ab6-a31e-5acfb27d8915,OMTS-O-5VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,1991cc25-7cb5-464b-9a33-411292ebf4e0,OMTS-O-6VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,bee7c306-896d-466e-9fbd-6ff2bc042fc6,OMTS-SM-1VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,3cef75d3-421c-4652-a554-313b36f4d4bc,OMTS-SM-2VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,a4412924-3a93-42cf-891a-c798d0c3a06d,OMTS-V-1VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,59e417a9-d035-46bc-a040-3c201fa5de5a,ONR-NVM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ebaa6c41-9f60-4993-aa9f-c37b93efa6e9,OPB-6VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,33945a7f-d8e8-4c76-bfaf-3686a49587aa,OPB-7VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,9bf1a313-0c62-4f6b-9dcd-9a36a9d2f1da,OPB-9VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,27278a4e-384e-402a-9e15-84dfd6b3d753,ORD-7VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,d925b65a-3c8c-4f20-abf0-6a4deabbff26,ORD-8VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,0f55824b-0d9d-46d3-9256-c1003c177711,OTK-2VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,88f4b7b7-8680-4b7d-af15-2e021006d589,OTK-B1B-7VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,60b25cd8-0d68-4056-a322-7bc149a40d28,OVAIK-4,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,517f8c88-2017-433c-95be-e514d845bf0f,P-ZGD-BVM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,d7be6f8b-0794-4cf2-b250-6523d77ca2c9,PDO-3,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ce36eb5a-6b62-4b29-8402-1c7f6e4f2f7d,PEO-7,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,115d4bd7-c11e-4c12-a26a-5ec99f4ea9ad,R-PGD-3VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,56b8de3e-4109-4f32-921c-f36a29a69621,R-ZGDB-VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,19e67c71-45df-404c-b1cd-2730af32cddc,SOOS-1VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,9d85ba09-aabe-46df-9c73-022d103446d1,SOOS-2VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,d8874370-c257-48d5-820b-c51e51a07584,SOOS-3VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,abdf7931-fe8e-447a-8a35-da22a7011097,Z01-B4-12VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,1428a301-530a-493e-bd86-103e9b615628,Z03-159-1,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,1ec39708-c9aa-4f9a-ab06-61a33015017f,Z03-159-4VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,c7a810e6-797d-4510-ac88-2dfde00a9495,Z03-199-8,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,c7d1c75d-9fe6-4d3b-90c2-0bc443df4c4e,Z04-510-1,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,4403cfb4-a899-4efa-9ecc-0faa60987d95,Z04-530-8VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,e1bd3d8c-b45c-4b59-99f1-d837298169b2,Z05-169-3VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,50a12164-6c42-4c71-9f75-c9f8761d2354,Z05-169-6VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,49320a17-d983-4bfd-8640-949b89ea9dc0,Z05-179-5,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,90b570be-76a0-4fb0-ae24-6110255b1e86,Z05-179-5,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,efd9186a-46cf-4bf1-bb53-0df3ccb90971,Z12-130-2VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,9ab20292-05cd-4edb-977b-6eb9080507a1,Z14-KOMP-1VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,3b66954b-9946-44b3-b345-83ee7b44ff0c,Z14-KOT-1,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ba306ff1-fdf9-4c62-a449-f06ac18bf940,Z14-KOT-6,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,62d9ab98-116a-4ab2-b5f9-a7948f083398,Z16-D6-11,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,8583a4d1-c38d-4c54-b867-3741982b4aaa,Z16-D6-15,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ef02d72a-b80c-4bea-bcee-9926c938e892,Z18-B1-1VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,c0686924-f633-4cd9-9fd2-03bd62bb793e,Z20-B1B-4VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,9043da02-2703-4f6d-b95e-82b00cc5b49e,Z21-625-5VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,50e5d4c2-3500-4159-a109-d37c80c966d4,ZUS-ASCON-VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,1c573373-d978-4ea1-be91-07ad2a7be4b6,ZUS-DC-2VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,d00e6113-cf9c-4968-afc4-023704533e7f,ZUS-DC-3VM,1,2
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,badaaab7-9421-4d4a-a8fa-6ca7bb0c0e6c,AHO-1VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,0f188949-d1bc-4b71-8953-0ace69142bed,AHO-2,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,72439980-3f8c-4a5d-b536-c8232c374e01,B-GB-VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,69d794b1-5c58-40a6-a3c8-4ff0273a8c05,B-M-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ef5a910b-ed6d-4c8d-a87f-76d3e515c2b4,B-M-3VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ee0b172b-5241-47af-998a-1f38cbcea7d9,B-M-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,8315b444-36b9-4b4e-9807-1efeef0b1826,B-O-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,4afdab08-3315-4b79-82d0-73ab49d74565,B-O-5VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,303fc947-fac4-4591-a7f7-d2aeabece619,B-O-6VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,36bfcb87-b12e-4051-b17c-e9d196c575a5,B-P-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,2ae0c45d-4b61-49c2-b978-048eb8ba52b8,B-P-7VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,1ed3076e-6722-4f56-bcbb-232583ea433a,B-R-1VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,3fb4f3b9-5339-4b2b-a6de-60b7c783e733,B-R-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,da656fed-ca7c-4879-8353-4afedc3b26dd,B-R-N,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,f35d2a8f-c12e-4002-b849-e8aa7aee7246,IT-304-3,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,5631f7ec-cfce-4e59-93a0-69220deb5ba6,IT-T-PIA-VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,1e9224aa-ceb3-4b03-98eb-e7cd56afa904,OEB-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,9fcd778a-3ff2-4cf2-bb01-5e302c2cdcc9,OGE-16VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,277e4bed-41f7-4b9c-9e97-b328560f0ef5,OGE-19VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,67f0c8ba-fd20-4e4d-9e59-b2d27a5c736f,OGE-3,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,1ee1c6a9-290d-4335-bf8a-a16e212d13c4,OGE-8VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,8f97efeb-e70a-4eed-8ee9-723e76330ea0,OGM-11VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,2d68f19d-4f7b-427d-a159-a7966245f504,OGM-1VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,0d3bc897-e69c-4adf-abd0-00784f969ab8,OGT-1-3VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,02b4f08a-26d1-414d-853c-d47ff710bd95,OGT-2-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,3ce8742a-f11d-4fde-898a-93907259ba49,OGT-2-5VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,caf04daf-3374-4d63-b35b-13cc0972999f,OGT-2-9,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,8f8fe03e-60e2-442a-a893-13f7e7558b0b,OGT-BMN-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,cd1cca26-9a14-47c1-a760-4150fd669926,OGT-KBOP-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,79d4000c-59ae-4c8e-bb47-0f99ecc0c006,OGT2-4,1,1
