Последние 10 алертов
201,R063_04_Включение пользователя в критичную группу
199,R063_Добавление учетной записи в группу доменных или локальных администраторов
189,AMSI-защита
184,A registry value was modified.
184,A security-enabled local group was deleted.
173,Domain Policy was changed.
169,Мониторинг системы
164,Нет
162,Service State Event
156,A computer account was created.
155,R054_Удаление группы в ОС Windows подозрительным пользователем
130,R221_02_Обнаружение сбора информации о локальных группах Windows с помощью PowerShell
128,Загрузка обновлений в хранилище
124,R102_Доступ к WinAPI
124,R102_01_Доступ к WinAPI с использованием PowerShell
122,R296_04_Подозрительные аргументы при запуске Msiexec.exe
117,Catalog
105,Включить надстройку
103,Контроль активности программ
101,Почтовый Антивирус
99,IM-Антивирус

Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T15:50:38+03:00
[ТД] КУЛЗ

severity,tenantName,tenantID,createdAt,name,priority,status,id
Low,[ТД] КУЛЗ,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,2025-04-18T14:47:45+03:00,R062_Действия над группой из командной строки,1,1,INC-406

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:50:38+03:00
[ТД] КУЛЗ

displayName,criticality,frequency,tenantID,tenantName,id
OTD4-911119,1,9,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,[ТД] КУЛЗ,c1221c25-93a1-4bf2-9a1a-56bb034792f2
OTD89-1520220,1,5,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,[ТД] КУЛЗ,7d6dff48-69b8-4b9b-8bd1-e07baf3118e8
OTD11-901119,1,4,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,[ТД] КУЛЗ,8605a61b-b8b5-47af-99f5-255f3788a77e
OTD22-880220,1,4,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,[ТД] КУЛЗ,6669e9c3-36c7-4f82-9c94-06cafd3db6cb
CEH66-1150220,1,2,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,[ТД] КУЛЗ,c4942e3f-6337-414b-9be6-1f51811f07f5
DIRECTOR,1,2,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,[ТД] КУЛЗ,2a79bbe1-9e7a-4ea4-883d-7bc0b0403516
