Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:23+03:00
[ТД] УАПО

No Data

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:23+03:00
[ТД] УАПО

4,Обновление Нодпад от 26 марта
4,Установка Kaspersky Endpoint Security для Windows (12.8.0) (Русский) (Strong encryption)_1 (1)
4,Удаленная установка программы KSC new
4,Установка Kaspersky Endpoint Security для Windows (12.8.0) (Русский) (Strong encryption)_1 (4)
3,DNSEvent (DNS query)
3,Установка Kaspersky Security Center 14 Network Agent (Русский)_14.2.0.26967 (1)
1,ProcessTampering (Process image change)
1,R401_Попытка обращения на запрещенный ресурс не из браузера
1,WmiEvent (WmiEventConsumerToFilter activity detected)

