Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:35+03:00
[ТМ] Сибприбормаш

No Data

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:35+03:00
[ТМ] Сибприбормаш

metric,value
4,Closed

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:35+03:00
[ТМ] Сибприбормаш

No Data

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:35+03:00
[ТМ] Сибприбормаш

metric,value
95,Scan_File_88884738-292f-4642-bfe0-57a8bc09b3bc
95,Scan_File_f8501231-7575-49fc-9d63-29dc45a6ee69
95,bpf
86,Scan_File_cc153755-8b80-46e4-ae3c-aa04c3ffe8f0
78,Инвентаризация
43,RDP Server Brute Force Exploit
42,TC-043 TC-044 TC-046 TC-047 TC-048 TC-051
38,Anti_Cryptor
24,Scan_File_f2fce191-c4a8-4a66-89b9-99982cb1cfe8
21,Удаленная установка программы TC-012 TC-013 tc-015.spmbiysk.local
21,plan18 plan19 OGM09
20,Scan_Boot_Sectors_e8aeb4ad-43c2-45c7-abe2-05afc54e9ccb
19,Scan_Boot_Sectors_5021ec85-a13b-4eec-bdc9-857eab758961
17,Creating RunspacePool object
17,Scan_File_5263deff-0f62-4c7a-a8f2-ab2d0224fe12
16,Scan_File_2d3471e1-d7fb-4b66-b090-d8b5d19d809e
15,Scan_Boot_Sectors_9f4051ac-6336-449b-a6b6-1c180ceab846
15,Scan_Boot_Sectors_c2a6319f-0dab-4210-9e9f-bdc6f4a96ce9
15,Scan_Boot_Sectors_7a42dca5-6d2e-4286-8255-ac51f75cc1fe
15,Scan_Boot_Sectors_bab02bc5-de8a-4002-93fc-bbc50acb295d
14,Удаленная установка программы OK12 OK13
14,R077_02_KSC. Обнаружено вредоносное ПО
14,Удаленная установка программы SBIT13 SBIT14
14,R077_Обнаружено вредоносное ПО
14,Удаленная установка программы 745AT07 746AT06
12,Scan_File_0c013b9e-2a0e-4c25-835d-401470ecf870
12,Scan_File_1cdb241d-4922-48db-aabd-85a3dbe51a3b
10,Scan_Boot_Sectors_92ac814b-02dc-468d-be1a-9e57a90d17e3
10,Scan_Boot_Sectors_b75728c3-af26-433f-9501-b79c225ce290
10,Scan_Boot_Sectors_dc220e5a-1102-409d-933c-5fbdfad8fea7
10,Scan_Boot_Sectors_ceaea969-fa39-42a7-94aa-2c2b22870145
10,Opening RunspacePool
10,Scan_Boot_Sectors_a302fccf-c237-4b34-986c-ac7abf6f8d04
10,Удаленная установка программы на 740-03
10,Scan_Boot_Sectors_9ac4b606-ec8a-45cb-a7b5-57fca310c5af
10,Scan_Boot_Sectors_d413c1b8-9ac7-4f09-8a8a-8b74aa757d9d
10,Scan_Boot_Sectors_901c55f1-d4ec-4d45-a7c6-4332d62f0b3a
