R100_02,"T1003.006, T1003.004, T1003.002, T1059.001, T1003.001"
R100_03,"T1558.001, T1134.005, T1550.003, T1003.006, T1558.002, T1003.004, T1003.002, T1555.004, T1059.003, T1550.002, T1003.001, T1555.003"
R101_01,"T1518.001, T1518, T1059.003, T1012"
R101_02,"T1518.001, T1518, T1059.001"
R101_03,"T1518.001, T1518, T1059.003, T1059.001"
R102_01,"T1106, T1059.001"
R102_02,"T1106, T1059.003, T1059.001"
R103_01,"T1070.003, T1059.001"
R103_02,"T1070.003, T1059.003, T1059.001"
R104_01,"T1027.010, T1059.003, T1059.001"
R104_02,"T1027.010, T1059.001"
R105_01,"T1027.010, T1059.003, T1059.001"
R105_02,"T1027.010, T1059.003, T1059.001"
R105_03,"T1027.010, T1140, T1059.003, T1059.001"
R105_04,"T1027.010, T1059.001"
R105_05,"T1027.010, T1059.001"
R105_06,"T1027.010, T1140, T1059.001"
R106_01,"T1027.010, T1140, T1059.001"
R106_02,"T1027.010, T1140, T1059.003, T1059.001"
R107_01,"T1560, T1059.001"
R107_02,"T1560, T1059.003, T1059.001"
R107_03,"T1560.001, T1560"
R108_01,"T1140, T1059.001"
R108_02,"T1140, T1059.003, T1059.001"
R109_01,T1059.001
R109_02,"T1059.003, T1059.001"
R110_01,T1059.001
R110_02,"T1140, T1132.001, T1027, T1059.001"
R110_03,"T1071.001, T1059.001"
R110_04,"T1564.003, T1059.001"
R110_05,"T1059.003, T1059.001"
R110_06,"T1059.003, T1140, T1059.001, T1132.001, T1027"
R110_07,"T1071.001, T1059.003, T1059.001"
R110_08,T1021.006
R111,"T1070.005, T1059.003"
R112,"T1059.005, T1059.007, T1059.003, T1059.004, T1059.001, T1059.006"
R113,"T1566.002, T1204.002, T1204.001"
R114,"T1021, T1204.002"
R115,"T1566.002, T1204.002, T1204.001"
R116,"T1598.003, T1566.002, T1204.001"
R117,"T1598.003, T1566.002, T1204.001"
R150_01,T1036.005
R150_02,"T1036.003, T1036"
R151,T1036.005
R152_01,T1059.001
R152_02,T1059.001
R152_03,T1218.011
R152_04,T1218.010
R152_05,T1218.005
R152_06,T1218.012
R152_07,T1218.001
R152_08,T1218
R152_09,"T1203, T1068"
R152_10,"T1189, T1059.001"
R152_11,T1189
R153,T1543
R154,"T1556, T1556.002"
R155,"T1574.007, T1574.009"
R180,T1566.001
R201,"T1095, T1071"
R202,"T1095, T1071"
R203,T1071
R204,T1071.004
R205,T1071.004
R206,T1557.003
R207_01,"T1595, T1595.002"
R207_02,"T1595, T1595.002"
R208_01,"T1018, T1046"
R208_02,"T1018, T1046"
R208_03,T1205.001
R209_01,"T1018, T1046"
R209_02,"T1018, T1046"
R209_03,"T1018, T1046"
R209_04,"T1571, T1059.001"
R210,T1046
R211_01,"T1557.002, T1565, T1565.002"
R211_02,"T1557.002, T1565, T1565.002"
R211_03,"T1557.002, T1557, T1565.002"
R211_04,T1557
R211_05,T1557
R211_06,T1557
R218,T1204.001
R219,T1572
R220_01,"T1087.002, T1059.001"
R220_02,"T1087.001, T1033, T1087.002, T1059.003"
R220_03,"T1087.001, T1059.001"
R220_04,"T1087.002, T1059.003, T1059.001"
R220_05,"T1087.001, T1059.003, T1059.001"
R220_06,T1552.002
R221_01,"T1069.002, T1069.001"
R221_02,"T1069.001, T1059.001"
R221_03,"T1069.002, T1059.001"
R221_04,"T1069, T1588"
R222_01,"T1135, T1059.001"
R222_02,"T1135, T1059.003"
R222_03,"T1021.002, T1059.001"
R222_04,"T1135, T1059.003, T1059.001"
R223_01,"T1057, T1059.001"
R223_02,T1057
R223_03,"T1057, T1059.003, T1059.001"
R224_01,"T1082, T1018, T1059.001"
R224_02,"T1049, T1082, T1059.003"
R224_03,"T1082, T1018, T1059.003, T1059.001"
R224_04,"T1087.001, T1059.004, T1082, T1049, T1057"
R224_05,"T1082, T1087.001, T1059.004"
R224_06,"T1083, T1059.004"
R224_07,"T1083, T1059.004"
R224_08,"T1082, T1059.003"
R224_09,"T1018, T1082, T1016, T1049, T1083"
R224_10,"T1552.003, T1552"
R224_11,"T1119, T1083, T1059.001"
R224_12,"T1119, T1083, T1552.001"
R224_13,"T1552.006, T1552"
R224_14,"T1033, T1135, T1007, T1016, T1010, T1049, T1057, T1087"
R224_15,T1201
R224_16,T1201
R225_01,"T1555.003, T1005"
R225_02,"T1539, T1005"
R225_03,T1005
R226_01,"T1049, T1059.001"
R226_02,"T1049, T1059.003"
R226_03,"T1049, T1059.003, T1059.001"
R227_01,T1497.001
R227_02,"T1497.001, T1059.003"
R228_01,"T1482, T1059.003"
R228_02,"T1482, T1059.003"
R228_03,T1615
R229_01,T1007
R229_02,"T1007, T1059.001"
R230_01,"T1003.004, T1003.002, T1003.005, T1012"
R230_02,"T1003.004, T1003.002, T1059.003, T1012, T1003.005"
R231_01,"T1003.004, T1003.002, T1003.001, T1003.005"
R231_02,"T1003.003, T1059.003"
R231_03,"T1003.003, T1059.003"
R231_04,"T1003.005, T1003.004, T1003.002, T1059.003"
R231_05,"T1003.008, T1003"
R231_06,T1003.007
R232,"T1003.004, T1003.002, T1059.003, T1003.001, T1003.005"
R233_01,"T1059.003, T1003"
R233_02,T1003
R233_03,"T1003.001, T1012"
R233_04,"T1003.001, T1036"
R240_01,"T1059.003, T1562.004"
R240_02,"T1059.003, T1562.004"
R240_03,"T1112, T1562.004"
R240_04,"T1112, T1562.004"
R240_05,T1562.004
R241,"T1112, T1562.001, T1562.004"
R242,"T1112, T1548.002"
R250,"T1134.001, T1059.003"
R262,"T1556.001, T1003.001, T1059.003"
R270,"T1112, T1059.003, T1059.001"
R271,"T1112, T1543.003, T1218.011"
R280_01,"T1574.011, T1543.003, T1059.003"
R280_02,"T1574.011, T1543.003, T1059.003"
R280_03,"T1543.003, T1059.003"
R280_04,"T1543.003, T1059.003"
R280_05,"T1569.002, T1543.003"
R281_01,"T1569.002, T1543.003"
R281_02,T1543.003
R281_03,"T1112, T1569.002, T1543.003"
R282_01,"T1489, T1059.001"
R282_02,"T1059.003, T1489"
R283_01,T1218
R283_02,T1176
R284,"T1204.002, T1218.011, T1059.001"
R285_01,T1080
R285_02,T1129
R286_01,"T1071, T1059.004"
R287_01,T1059.001
R287_02,"T1112, T1059.001"
R288_01,"T1059.005, T1059.007, T1059.001"
R288_02,"T1036.008, T1059.001"
R289_01,"T1140, T1027, T1059.001"
R289_02,"T1027.010, T1059.002, T1018"
R289_03,"T1027.003, T1027"
R290_01,T1059.001
R290_02,T1218.005
R290_03,T1059.007
R290_04,"T1218.011, T1218.002"
R290_05,"T1036.005, T1218.007"
R290_06,T1218.010
R290_07,T1059.005
R291_01,"T1218.010, T1071.001, T1071.002, T1059.003"
R291_02,"T1218.005, T1071.001, T1071.002, T1059.003"
R291_03,"T1071.002, T1071.001, T1218.011, T1059.003"
R291_04,"T1218.010, T1071.001, T1071.002, T1059.003"
R291_05,"T1218.007, T1071.001, T1071.002, T1059.003"
R292_01,"T1197, T1059.003"
R292_02,"T1197, T1105, T1059.003"
R293_01,T1574
R293_02,"T1218.003, T1574"
R293_03,"T1021, T1021.003"
R294_01,"T1027.010, T1059.003, T1059.001"
R294_02,"T1027.010, T1059.001"
R294_03,"T1027.010, T1140, T1059.003, T1059.001"
R294_04,"T1027.010, T1140, T1059.003, T1059.001"
R294_05,"T1027.010, T1140, T1059.001"
R294_06,"T1027.010, T1140, T1059.001"
R295_01,"T1112, T1574.011, T1059.003"
R295_02,"T1574.011, T1569, T1059.003"
R296_01,"T1218.011, T1059.003"
R296_02,"T1218.004, T1059.003"
R296_03,"T1218.005, T1059.003"
R296_04,"T1218.007, T1546.016, T1059.003"
R296_05,"T1059.003, T1218.008"
R296_06,T1218.010
R296_07,"T1218.009, T1059.003"
R296_08,"T1218.010, T1059.003"
R296_09,"T1218.003, T1059.003"
R296_10,T1218.011
R296_11,"T1218.007, T1059.003"
R296_12,"T1218.009, T1059.003"
R296_13,"T1036.008, T1218.010, T1059.003"
R296_14,"T1546.015, T1546"
R296_15,"T1218, T1072"
R296_16,"T1559, T1559.001, T1059.003, T1137.006"
R296_17,"T1056.004, T1055.001, T1218.013"
R296_18,"T1212, T1218.011"
R297,T1047
R298,"T1059.003, T1047"
R299,"T1548.002, T1059.003"
R300_01,T1036
R300_02,"T1137, T1204.002, T1566.001"
R300_03,T1053.005
R300_04,"T1505.003, T1059, T1190"
R301_01,T1562.009
R301_02,T1542.003
R302_01,"T1564.001, T1564.004, T1059.003"
R302_02,T1027.005
R302_03,T1222.001
R320,"T1059.003, T1490"
R321,"T1059.003, T1490"
R330,"T1021.001, T1562.004, T1059.003, T1133"
R331_01,"T1112, T1021.001, T1133"
R331_02,T1505.005
R331_03,T1505.005
R332,"T1112, T1021.001"
R333,T1547.001
R334,T1547.003
R335_01,T1098.004
R350_01,"T1137, T1204.002, T1566.001"
R350_02,T1137.001
R350_03,"T1137, T1137.003"
R350_04,T1534
R350_05,T1137.006
R350_06,"T1112, T1137, T1137.005"
R351_01,"T1566.002, T1204.001"
R351_02,T1553.005
R400,T1204
R401,T1071.001
R402,"T1566, T1598"
R403,"T1598.003, T1562.001, T1566.002, T1071.001"
R404,T1204
R405_01,"T1557, T1565.002"
R405_02,"T1546, T1546.004"
R405_03,T1546.013
R405_04,T1037.004
R405_05,T1556.003
R405_06,"T1543.002, T1053.006"
R405_07,T1505.004
R405_08,T1574.006
R406_01,"T1187, T1056.002, T1059.001"
R407_01,"T1056.001, T1059.001"
R407_02,T1056
R408_01,T1588.002
R408_02,T1588.002
R409_01,T1505.002
R409_02,T1505.002
R409_03,"T1098.002, T1059.001"
R409_04,"T1098.005, T1098, T1059.001"
R410_01,T1546.003
R410_02,T1546.003
R410_03,T1546.003
R411_01,T1546.008
R412_01,"T1563.002, T1563"
R412_02,"T1563.001, T1563"
R413_01,T1547.006
R414_01,T1574.012
R415_01,T1653
R415_02,T1653
R416_01,"T1195.001, T1195.002"
R417_01,"T1195.002, T1195"
R417_02,T1568
R417_03,"T1584.002, T1584.003, T1584.007, T1584.008, T1584.004, T1584.006, T1584, T1584.001, T1584.005"
R418_01,T1113
R418_02,T1113
R419_01,"T1587.002, T1036.001, T1587.003, T1553.002"
R419_02,"T1608, T1608.003"
R419_03,T1553.004
R419_04,"T1552.004, T1552, T1606.002"
R420_01,"T1056.003, T1491.001, T1491.002, T1491"
R420_02,T1056.003
R421_01,T1649
R422_01,"T1562.002, T1562"
R423_01,T1027.004
R423_02,T1027.004
R424_01,"T1134.003, T1528"
R425_01,T1190
R426_01,T1190
R426_02,T1190
R427_01,T1105
R428_01,T1105
R428_02,T1105
R428_03,T1105
R429_01,T1115
R430_01,T1030
